;Title, http://www.gcdataconcepts.com, x2-2,Kionix KXRB5-2050
;Version, 1102, Build date, Oct  6 2015,  SN:CCDC10023F56AE8
;Start_time, 2018-02-09, 08:21:42.830
;Temperature, -999.00, deg C,  Vbat, 4222, mv
;Gain, high
;SampleRate, 64,Hz
;Deadband, 0, counts
;DeadbandTimeout, 0,sec
;Headers, time,Ax,Ay,Az
12.180938,-8016,-11587,-13026
12.196563,-7969,-11605,-13008
12.212188,-7973,-11644,-13038
12.227813,-7959,-11681,-13033
12.243438,-7919,-11692,-13033
12.259063,-7930,-11706,-13060
12.274688,-7912,-11704,-13058
12.290313,-7896,-11699,-13040
12.305938,-7921,-11706,-13081
12.321563,-7905,-11681,-13072
12.337188,-7876,-11674,-13047
12.352813,-7857,-11696,-13120
12.368438,-7839,-11680,-13106
12.384063,-7823,-11637,-13056
12.399688,-7801,-11603,-13065
12.415313,-7785,-11576,-13017
12.430938,-7769,-11567,-13004
12.446563,-7710,-11569,-13078
12.462188,-7694,-11562,-13090
12.477813,-7735,-11558,-13049
12.493438,-7694,-11542,-13104
12.509063,-7709,-11499,-13113
12.524688,-7787,-11471,-13036
12.540313,-7759,-11456,-13094
12.555938,-7725,-11424,-13090
12.571563,-7776,-11410,-13013
12.587188,-7769,-11397,-13078
12.602813,-7744,-11374,-13085
12.618438,-7791,-11371,-13028
12.634063,-7809,-11356,-13065
12.649688,-7855,-11340,-13119
12.665313,-7910,-11337,-13101
12.680938,-7889,-11340,-13126
12.696563,-7853,-11344,-13165
12.712188,-7851,-11342,-13076
12.727813,-7839,-11363,-13006
12.743438,-7816,-11369,-13003
12.759063,-7851,-11358,-12983
12.774688,-7884,-11401,-12956
12.790313,-7892,-11447,-13026
12.805938,-7917,-11472,-13099
12.821563,-7934,-11524,-13054
12.837188,-7967,-11549,-13103
12.852813,-8000,-11558,-13145
12.868438,-7991,-11580,-13079
12.884063,-8008,-11587,-13092
12.899688,-8075,-11594,-13124
12.915313,-8075,-11594,-13090
12.930938,-8019,-11599,-13072
12.946563,-8005,-11624,-13076
12.962188,-7980,-11646,-13067
12.977813,-7934,-11674,-13049
12.993438,-7921,-11701,-13038
13.009063,-7934,-11699,-13031
13.024688,-7930,-11683,-13013
13.040313,-7914,-11694,-13026
13.055938,-7925,-11701,-13076
13.071563,-7910,-11694,-13070
13.087188,-7871,-11699,-13056
13.102813,-7864,-11708,-13120
13.118438,-7842,-11685,-13104
13.134063,-7830,-11631,-13061
